SimpleExpSmoothing,Holt Model,ExponentialSmoothing
-685.2469079,-1003.535672,-685.2469079
-1977.246908,-2319.082184,-1977.246908
-1852.446908,-2217.828697,-1852.446908
-1392.096908,-1781.02521,-1392.096908
-1326.196908,-1738.671723,-1326.196908
1163.553092,727.5317648,1163.553092
2936.253092,2476.685252,2936.253092
-176.4469079,-659.5612607,-176.4469079
-3002.596908,-3509.257773,-3002.596908
-4256.996908,-4787.204286,-4256.996908
-3487.096908,-4040.850799,-3487.096908
-3239.146908,-3816.447312,-3239.146908
-2756.796908,-3357.643824,-2756.796908
-3840.546908,-4464.940337,-3840.546908
-5621.246908,-6269.18685,-5621.246908
-4497.596908,-5169.083363,-4497.596908
-4506.346908,-5201.379875,-4506.346908
-4244.996908,-4963.576388,-4244.996908
-3621.046908,-4363.172901,-3621.046908
-3590.746908,-4356.419413,-3590.746908
-3490.796908,-4280.015926,-3490.796908
-3705.996908,-4518.762439,-3705.996908
-2491.996908,-3328.308952,-2491.996908
128.0530921,-731.8054644,128.0530921
-1082.946908,-1966.351977,-1082.946908
-2280.396908,-3187.34849,-2280.396908
-2696.446908,-3626.945003,-2696.446908
-3317.746908,-4271.791515,-3317.746908
-2371.996908,-3349.588028,-2371.996908
-1742.346908,-2743.484541,-1742.346908
1855.003092,830.3189465,1855.003092
587.8030921,-460.4275662,587.8030921
-1824.446908,-2896.224079,-1824.446908
-3025.646908,-4120.970592,-3025.646908
-2099.396908,-3218.267104,-2099.396908
-2972.896908,-4115.313617,-2972.896908
-732.8969079,-1898.86013,-732.8969079
2918.603092,1729.093357,2918.603092
-2358.246908,-3571.303155,-2358.246908
-3042.646908,-4279.249668,-3042.646908
-4171.596908,-5431.746181,-4171.596908
-3424.396908,-4708.092693,-3424.396908
-2504.546908,-3811.789206,-2504.546908
-1886.896908,-3217.685719,-1886.896908
-3.09690787,-1357.432232,-3.09690787
-1226.446908,-2604.328744,-1226.446908
-2074.846908,-3476.275257,-2074.846908
-2014.246908,-3439.22177,-2014.246908
-2421.096908,-3869.618283,-2421.096908
-2075.796908,-3547.864795,-2075.796908
-1111.546908,-2607.161308,-1111.546908
2060.453092,541.2921792,2060.453092
-1299.096908,-2841.804334,-1299.096908
-1357.346908,-2923.600846,-1357.346908
-3372.946908,-4962.747359,-3372.946908
-3582.796908,-5196.143872,-3582.796908
-3025.996908,-4662.890384,-3025.996908
-1297.296908,-2957.736897,-1297.296908
3828.703092,2144.71659,3828.703092
-1726.846908,-3434.379923,-1726.846908
-3390.946908,-5122.026435,-3390.946908
-3921.146908,-5675.772948,-3921.146908
-3374.746908,-5152.919461,-3374.746908
-3436.846908,-5238.565974,-3436.846908
-164.9469079,-1990.212486,-164.9469079
2035.803092,186.991001,2035.803092
-2672.746908,-4545.105512,-2672.746908
-2647.746908,-4543.652024,-2647.746908
-3550.196908,-5469.648537,-3550.196908
-4034.946908,-5977.94505,-4034.946908
-3316.146908,-5282.691563,-3316.146908
-242.5969079,-2232.688075,-242.5969079
-515.4969079,-2529.134588,-515.4969079
-1619.796908,-3656.981101,-1619.796908
-2020.796908,-4081.527614,-2020.796908
-3615.746908,-5700.024126,-3615.746908
-3205.396908,-5313.220639,-3205.396908
-3587.146908,-5718.517152,-3587.146908
-909.1469079,-3064.063664,-909.1469079
883.8030921,-1294.660177,883.8030921
-2007.496908,-4209.50669,-2007.496908
-2644.146908,-4869.703203,-2644.146908
-3025.896908,-5274.999715,-3025.896908
-2935.546908,-5208.196228,-2935.546908
-1145.846908,-3442.042741,-1145.846908
-1047.746908,-3367.489254,-1047.746908
1433.803092,-909.4857663,1433.803092
776.5530921,-1590.282279,776.5530921
-2286.296908,-4676.678792,-2286.296908
-2729.946908,-5143.875304,-2729.946908
-1299.446908,-3736.921817,-1299.446908
